path,speaker,text
UASpeech/ASA-DSR/F02/asa_backspace.wav,F02,backspace
UASpeech/ASA-DSR/F02/asa_command.wav,F02,command
UASpeech/ASA-DSR/F02/asa_delete.wav,F02,delete
UASpeech/ASA-DSR/F02/asa_downward.wav,F02,downward
UASpeech/ASA-DSR/F02/asa_escape.wav,F02,escape
UASpeech/ASA-DSR/F02/asa_hotel.wav,F02,hotel
UASpeech/ASA-DSR/F02/asa_paragraph.wav,F02,paragraph
UASpeech/ASA-DSR/F02/asa_sentence.wav,F02,sentence
UASpeech/ASA-DSR/F02/asa_upward.wav,F02,upward
UASpeech/ASA-DSR/F02/asa_yankee.wav,F02,yankee
UASpeech/ASA-DSR/F04/asa_backspace.wav,F04,backspace
UASpeech/ASA-DSR/F04/asa_chair.wav,F04,chair
UASpeech/ASA-DSR/F04/asa_command.wav,F04,command
UASpeech/ASA-DSR/F04/asa_delete.wav,F04,delete
UASpeech/ASA-DSR/F04/asa_downward.wav,F04,downward
UASpeech/ASA-DSR/F04/asa_escape.wav,F04,escape
UASpeech/ASA-DSR/F04/asa_hotel.wav,F04,hotel
UASpeech/ASA-DSR/F04/asa_sentence.wav,F04,sentence
UASpeech/ASA-DSR/F04/asa_upward.wav,F04,upward
UASpeech/ASA-DSR/F04/asa_yankee.wav,F04,yankee
UASpeech/ASA-DSR/M05/asa_backspace.wav,M05,backspace
UASpeech/ASA-DSR/M05/asa_chair.wav,M05,chair
UASpeech/ASA-DSR/M05/asa_command.wav,M05,command
UASpeech/ASA-DSR/M05/asa_delete.wav,M05,delete
UASpeech/ASA-DSR/M05/asa_downward.wav,M05,downward
UASpeech/ASA-DSR/M05/asa_escape.wav,M05,escape
UASpeech/ASA-DSR/M05/asa_hotel.wav,M05,hotel
UASpeech/ASA-DSR/M05/asa_sentence.wav,M05,sentence
UASpeech/ASA-DSR/M05/asa_upward.wav,M05,upward
UASpeech/ASA-DSR/M05/asa_yankee.wav,M05,yankee
UASpeech/ASA-DSR/M07/asa_backspace.wav,M07,backspace
UASpeech/ASA-DSR/M07/asa_command.wav,M07,command
UASpeech/ASA-DSR/M07/asa_delete.wav,M07,delete
UASpeech/ASA-DSR/M07/asa_downward.wav,M07,downward
UASpeech/ASA-DSR/M07/asa_escape.wav,M07,escape
UASpeech/ASA-DSR/M07/asa_hotel.wav,M07,hotel
UASpeech/ASA-DSR/M07/asa_paragraph.wav,M07,paragraph
UASpeech/ASA-DSR/M07/asa_sentence.wav,M07,sentence
UASpeech/ASA-DSR/M07/asa_upward.wav,M07,upward
UASpeech/ASA-DSR/M07/asa_yankee.wav,M07,yankee
UASpeech/ASR-TTS/F02/e2e_backspace.wav,F02,backspace
UASpeech/ASR-TTS/F02/e2e_command.wav,F02,command
UASpeech/ASR-TTS/F02/e2e_delete.wav,F02,delete
UASpeech/ASR-TTS/F02/e2e_downward.wav,F02,downward
UASpeech/ASR-TTS/F02/e2e_escape.wav,F02,escape
UASpeech/ASR-TTS/F02/e2e_hotel.wav,F02,hotel
UASpeech/ASR-TTS/F02/e2e_paragraph.wav,F02,paragraph
UASpeech/ASR-TTS/F02/e2e_sentence.wav,F02,sentence
UASpeech/ASR-TTS/F02/e2e_upward.wav,F02,upward
UASpeech/ASR-TTS/F02/e2e_yankee.wav,F02,yankee
UASpeech/ASR-TTS/F04/e2e_backspace.wav,F04,backspace
UASpeech/ASR-TTS/F04/e2e_chair.wav,F04,chair
UASpeech/ASR-TTS/F04/e2e_command.wav,F04,command
UASpeech/ASR-TTS/F04/e2e_delete.wav,F04,delete
UASpeech/ASR-TTS/F04/e2e_downward.wav,F04,downward
UASpeech/ASR-TTS/F04/e2e_escape.wav,F04,escape
UASpeech/ASR-TTS/F04/e2e_hotel.wav,F04,hotel
UASpeech/ASR-TTS/F04/e2e_sentence.wav,F04,sentence
UASpeech/ASR-TTS/F04/e2e_upward.wav,F04,upward
UASpeech/ASR-TTS/F04/e2e_yankee.wav,F04,yankee
UASpeech/ASR-TTS/M05/e2e_backspace.wav,M05,backspace
UASpeech/ASR-TTS/M05/e2e_chair.wav,M05,chair
UASpeech/ASR-TTS/M05/e2e_command.wav,M05,command
UASpeech/ASR-TTS/M05/e2e_delete.wav,M05,delete
UASpeech/ASR-TTS/M05/e2e_downward.wav,M05,downward
UASpeech/ASR-TTS/M05/e2e_escape.wav,M05,escape
UASpeech/ASR-TTS/M05/e2e_hotel.wav,M05,hotel
UASpeech/ASR-TTS/M05/e2e_sentence.wav,M05,sentence
UASpeech/ASR-TTS/M05/e2e_upward.wav,M05,upward
UASpeech/ASR-TTS/M05/e2e_yankee.wav,M05,yankee
UASpeech/ASR-TTS/M07/e2e_backspace.wav,M07,backspace
UASpeech/ASR-TTS/M07/e2e_command.wav,M07,command
UASpeech/ASR-TTS/M07/e2e_delete.wav,M07,delete
UASpeech/ASR-TTS/M07/e2e_downward.wav,M07,downward
UASpeech/ASR-TTS/M07/e2e_escape.wav,M07,escape
UASpeech/ASR-TTS/M07/e2e_hotel.wav,M07,hotel
UASpeech/ASR-TTS/M07/e2e_paragraph.wav,M07,paragraph
UASpeech/ASR-TTS/M07/e2e_sentence.wav,M07,sentence
UASpeech/ASR-TTS/M07/e2e_upward.wav,M07,upward
UASpeech/ASR-TTS/M07/e2e_yankee.wav,M07,yankee
UASpeech/E2E-DSR/F02/ee_backspace.wav,F02,backspace
UASpeech/E2E-DSR/F02/ee_command.wav,F02,command
UASpeech/E2E-DSR/F02/ee_delete.wav,F02,delete
UASpeech/E2E-DSR/F02/ee_downward.wav,F02,downward
UASpeech/E2E-DSR/F02/ee_escape.wav,F02,escape
UASpeech/E2E-DSR/F02/ee_hotel.wav,F02,hotel
UASpeech/E2E-DSR/F02/ee_paragraph.wav,F02,paragraph
UASpeech/E2E-DSR/F02/ee_sentence.wav,F02,sentence
UASpeech/E2E-DSR/F02/ee_upward.wav,F02,upward
UASpeech/E2E-DSR/F02/ee_yankee.wav,F02,yankee
UASpeech/E2E-DSR/F04/ee_backspace.wav,F04,backspace
UASpeech/E2E-DSR/F04/ee_chair.wav,F04,chair
UASpeech/E2E-DSR/F04/ee_command.wav,F04,command
UASpeech/E2E-DSR/F04/ee_delete.wav,F04,delete
UASpeech/E2E-DSR/F04/ee_downward.wav,F04,downward
UASpeech/E2E-DSR/F04/ee_escape.wav,F04,escape
UASpeech/E2E-DSR/F04/ee_hotel.wav,F04,hotel
UASpeech/E2E-DSR/F04/ee_sentence.wav,F04,sentence
UASpeech/E2E-DSR/F04/ee_upward.wav,F04,upward
UASpeech/E2E-DSR/F04/ee_yankee.wav,F04,yankee
UASpeech/E2E-DSR/M05/ee_backspace.wav,M05,backspace
UASpeech/E2E-DSR/M05/ee_chair.wav,M05,chair
UASpeech/E2E-DSR/M05/ee_command.wav,M05,command
UASpeech/E2E-DSR/M05/ee_delete.wav,M05,delete
UASpeech/E2E-DSR/M05/ee_downward.wav,M05,downward
UASpeech/E2E-DSR/M05/ee_escape.wav,M05,escape
UASpeech/E2E-DSR/M05/ee_hotel.wav,M05,hotel
UASpeech/E2E-DSR/M05/ee_sentence.wav,M05,sentence
UASpeech/E2E-DSR/M05/ee_upward.wav,M05,upward
UASpeech/E2E-DSR/M05/ee_yankee.wav,M05,yankee
UASpeech/E2E-DSR/M07/ee_backspace.wav,M07,backspace
UASpeech/E2E-DSR/M07/ee_command.wav,M07,command
UASpeech/E2E-DSR/M07/ee_delete.wav,M07,delete
UASpeech/E2E-DSR/M07/ee_downward.wav,M07,downward
UASpeech/E2E-DSR/M07/ee_escape.wav,M07,escape
UASpeech/E2E-DSR/M07/ee_hotel.wav,M07,hotel
UASpeech/E2E-DSR/M07/ee_paragraph.wav,M07,paragraph
UASpeech/E2E-DSR/M07/ee_sentence.wav,M07,sentence
UASpeech/E2E-DSR/M07/ee_upward.wav,M07,upward
UASpeech/E2E-DSR/M07/ee_yankee.wav,M07,yankee
UASpeech/Origin/F02/original_backspace.wav,F02,backspace
UASpeech/Origin/F02/original_command.wav,F02,command
UASpeech/Origin/F02/original_delete.wav,F02,delete
UASpeech/Origin/F02/original_downward.wav,F02,downward
UASpeech/Origin/F02/original_escape.wav,F02,escape
UASpeech/Origin/F02/original_hotel.wav,F02,hotel
UASpeech/Origin/F02/original_paragraph.wav,F02,paragraph
UASpeech/Origin/F02/original_sentence.wav,F02,sentence
UASpeech/Origin/F02/original_upward.wav,F02,upward
UASpeech/Origin/F02/original_yankee.wav,F02,yankee
UASpeech/Origin/F04/original_backspace.wav,F04,backspace
UASpeech/Origin/F04/original_chair.wav,F04,chair
UASpeech/Origin/F04/original_command.wav,F04,command
UASpeech/Origin/F04/original_delete.wav,F04,delete
UASpeech/Origin/F04/original_downward.wav,F04,downward
UASpeech/Origin/F04/original_escape.wav,F04,escape
UASpeech/Origin/F04/original_hotel.wav,F04,hotel
UASpeech/Origin/F04/original_sentence.wav,F04,sentence
UASpeech/Origin/F04/original_upward.wav,F04,upward
UASpeech/Origin/F04/original_yankee.wav,F04,yankee
UASpeech/Origin/M05/original_backspace.wav,M05,backspace
UASpeech/Origin/M05/original_chair.wav,M05,chair
UASpeech/Origin/M05/original_command.wav,M05,command
UASpeech/Origin/M05/original_delete.wav,M05,delete
UASpeech/Origin/M05/original_downward.wav,M05,downward
